1441532139146,15/09/06 09:32:12 203 011.9MPH  0002K 459.2F 035.5F 099% 31.099"  000.00" lightning 0 temp3 -427.0F 28007
1441532199144,15/09/06 09:33:08 196 008.7MPH  0002K 459.2F 035.5F 099% 31.099"  000.00" lightning 0 temp3 -427.0F 28007
1441532259139,15/09/06 09:34:04 208 011.2MPH  0002K 459.2F 035.5F 099% 31.097"  000.00" lightning 0 temp3 -427.0F 28007
1441532290996,15/09/06 09:35:00 209 010.8MPH  0002K 459.2F 035.5F 099% 31.100"  000.00" lightning 0 temp3 -427.0F 28007
1441532349143,15/09/06 09:35:56 219 010.3MPH  0002K 459.2F 035.5F 099% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532409144,15/09/06 09:36:51 212 009.6MPH  0002K 459.2F 035.5F 100% 31.099"  000.00" lightning 0 temp3 -427.0F 28007
1441532469143,15/09/06 09:37:47 205 009.2MPH  0002K 459.2F 035.5F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532529144,15/09/06 09:38:44 193 009.8MPH  0002K 459.2F 035.5F 100% 31.099"  000.00" lightning 0 temp3 -427.0F 28007
1441532589143,15/09/06 09:39:40 201 010.1MPH  0002K 459.2F 035.5F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532649143,15/09/06 09:40:35 200 010.1MPH  0002K 459.2F 035.5F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532682529,15/09/06 09:41:31 201 009.6MPH  0002K 459.2F 035.5F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532739148,15/09/06 09:42:27 206 009.4MPH  0002K 459.2F 035.5F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532799144,15/09/06 09:43:23 207 009.2MPH  0002K 459.2F 035.6F 100% 31.097"  000.00" lightning 0 temp3 -427.0F 28007
1441532859144,15/09/06 09:44:19 209 008.9MPH  0002K 459.2F 035.6F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441532919144,15/09/06 09:45:15 200 008.0MPH  0002K 459.2F 035.6F 100% 31.097"  000.00" lightning 0 temp3 -427.0F 28007
1441532979144,15/09/06 09:46:11 200 008.0MPH  0002K 459.2F 035.7F 100% 31.098"  000.00" lightning 0 temp3 -427.0F 28007
1441533039144,15/09/06 09:47:07 218 007.8MPH  0002K 459.2F 035.7F 100% 31.097"  000.00" lightning 0 temp3 -427.0F 28007
1441533099144,15/09/06 09:48:03 202 008.0MPH  0002K 459.2F 035.7F 100% 31.097"  000.00" lightning 0 temp3 -427.0F 28007
1441533129680,15/09/06 09:48:58 209 008.2MPH  0002K 459.2F 035.7F 100% 31.095"  000.00" lightning 0 temp3 -427.0F 28007
1441533189144,15/09/06 09:49:54 202 008.7MPH  0002K 459.2F 035.6F 100% 31.093"  000.00" lightning 0 temp3 -427.0F 28007
1441533249144,15/09/06 09:50:50 191 008.2MPH  0002K 459.2F 035.7F 100% 31.093"  000.00" lightning 0 temp3 -427.0F 28007
1441533309143,15/09/06 09:51:47 195 009.2MPH  0003K 459.2F 035.6F 100% 31.093"  000.00" lightning 0 temp3 -427.0F 28007
1441533369144,15/09/06 09:52:42 198 008.9MPH  0003K 459.2F 035.6F 100% 31.093"  000.00" lightning 0 temp3 -427.0F 28007
1441533429144,15/09/06 09:53:38 202 008.0MPH  0003K 459.2F 035.7F 100% 31.095"  000.00" lightning 0 temp3 -427.0F 28007
1441533489144,15/09/06 09:54:34 190 008.0MPH  0003K 459.2F 035.7F 100% 31.092"  000.00" lightning 0 temp3 -427.0F 28007
1441533521051,15/09/06 09:55:30 181 008.7MPH  0003K 459.2F 035.6F 100% 31.091"  000.00" lightning 0 temp3 -427.0F 28007
1441533579144,15/09/06 09:56:25 178 008.9MPH  0003K 459.2F 035.6F 100% 31.092"  000.00" lightning 0 temp3 -427.0F 28007
