MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31971749FA1064B12600C0E5F48B  02-Oct-2016 11:54:21
MMSI:366702000  Longitude:-74.0056  Latitude:40.7031  Altitude:0  04576DB6C3E00026AD3AB8974A5FF8C9FFA808C130B0A3  02-Oct-2016 11:54:21
MMSI:367397040  Longitude:-74.0201  Latitude:40.6997  Altitude:0  04579822C02004E6AD29A81749DEF31CFFAC0008C29380  02-Oct-2016 11:54:23
MMSI:367586920  Longitude:-73.9938  Latitude:40.7063  Altitude:0  0457A3B9A3000646AD488E974AD589B679A203041E4254  02-Oct-2016 11:54:29
MMSI:366990560  Longitude:-73.9963  Latitude:40.704  Altitude:0  04577F5380200456AD4595174A7FE549FFBA08C0F7478F  02-Oct-2016 11:54:30
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31929749F9D064B1520106096028  02-Oct-2016 11:54:43
MMSI:367400770  Longitude:-74.0032  Latitude:40.7043  Altitude:0  0457985D0BE00036AD3D8A174A8A93DBFFE201071D035E  02-Oct-2016 11:54:50
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31921749F9D064B1640140EB545B  02-Oct-2016 11:54:52
MMSI:366990560  Longitude:-73.996  Latitude:40.7044  Altitude:0  04577F53802000B6AD45EA974A8FC5C5FFF408C0FADE50  02-Oct-2016 11:54:59
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31921749F9D064B1760188B6892C  02-Oct-2016 11:55:01
MMSI:367586920  Longitude:-73.9955  Latitude:40.7056  Altitude:0  0457A3B9A3000646AD4678974ABB396D766202C0FE45FA  02-Oct-2016 11:55:01
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31919749F9A064B1140101A071EF  02-Oct-2016 11:55:12
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31911749F95064B1260082EC42DB  02-Oct-2016 11:55:21
MMSI:366702000  Longitude:-74.0056  Latitude:40.7032  Altitude:0  04576DB6C3E00006AD3ABD174A6068D7FFA80882E5EF56  02-Oct-2016 11:55:21
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31901749F90064B13E0084999FAA  02-Oct-2016 11:55:33
MMSI:367017010  Longitude:-74.007  Latitude:40.6905  Altitude:0  045780F0C8200486AD3909974884512FFFD80086C63EC7  02-Oct-2016 11:55:49
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD318F1749F8A064B1760140EF7FB1  02-Oct-2016 11:56:01
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD318F1749F8C064B11600C0EF0E5A  02-Oct-2016 11:56:13
MMSI:366702000  Longitude:-74.0055  Latitude:40.7033  Altitude:0  04576DB6C3E00006AD3AC6174A65E8F6FFA8085EE03D7B  02-Oct-2016 11:56:21
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD318F1749F8E064B128005EE087A0  02-Oct-2016 11:56:22
MMSI:367586920  Longitude:-73.9996  Latitude:40.703  Altitude:0  0457A3B9A3000646AD41B7174A5928A46BA202841E0CB7  02-Oct-2016 11:56:30
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31901749F90064B13E005EE092E6  02-Oct-2016 11:56:33
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31911749F92064B16400C0F2E669  02-Oct-2016 11:56:51
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31931749F96064B1760108B683A5  02-Oct-2016 11:57:00
MMSI:367586920  Longitude:-74.0012  Latitude:40.7014  Altitude:0  0457A3B9A3000646AD3FD9974A1DC86F6976024AB496AA  02-Oct-2016 11:57:11
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31961749F9B064B1140081A0B88E  02-Oct-2016 11:57:13
MMSI:366952890  Longitude:-74.0134  Latitude:40.7004  Altitude:0  04577D06E800000EAD31971749F9D064B1260008B9BCDC  02-Oct-2016 11:57:21
MMSI:367586920  Longitude:-74.0015  Latitude:40.701  Altitude:0  0457A3B9A3000646AD3F77174A0FA85F681202C104CD3F  02-Oct-2016 11:57:21
MMSI:366702000  Longitude:-74.0056  Latitude:40.7032  Altitude:0  04576DB6C3E00006AD3AB9174A6338F3FFA80808F2EB70  02-Oct-2016 11:57:21
MMSI:367017010  Longitude:-74.0049  Latitude:40.6934  Altitude:0  045780F0C8200486AD3B839748F3D10FFFB20008C2AE42  02-Oct-2016 11:57:29
MMSI:367586920  Longitude:-74.0018  Latitude:40.7007  Altitude:0  0457A3B9A3000646AD3F2B174A03A8476822024AB88962  02-Oct-2016 11:57:30
